292	Next-Door Bike Store	279	A22517E3-848D-4EBE-B9D9-7437F3432304	2025-09-11 11:15:07.497	800000	80000	United Security	BM	1996	Mountain	21000	2	ISDN	13
294	Professional Sales and Service	276	B50CA50B-C601-4A13-B07E-2C63862D71B4	2025-09-11 11:15:07.497	800000	80000	International Bank	BM	1991	Touring	18000	4+	T1	14
296	Riders Company	277	337C3688-1339-4E1A-A08A-B54B23566E49	2025-09-11 11:15:07.497	800000	80000	Primary Bank & Reserve	BM	1999	Road	21000	2	DSL	15
298	The Bike Mechanics	275	7894F278-F0C8-4D16-BD75-213FDBF13023	2025-09-11 11:15:07.497	800000	80000	International Security	BM	1994	Mountain	18000	2	DSL	16
300	Nationwide Supply	286	C3FC9705-A8C4-4F3A-9550-EB2FA4B7B64D	2025-09-11 11:15:07.497	800000	80000	Guardian Bank	BM	1987	Touring	21000	4+	DSL	17
302	Area Bike Accessories	281	368BE6DD-30E5-49BB-9A86-71FD49C58F4E	2025-09-11 11:15:07.497	300000	30000	International Bank	BM	1982	Road	9000	AW	T2	8
304	Bicycle Accessories and Kits	283	35F40636-5105-49D5-869E-27E231189150	2025-09-11 11:15:07.497	300000	30000	Primary Bank & Reserve	BM	1990	Mountain	7000	AW	T1	9
306	Clamps & Brackets Co.	275	64D06BFC-D060-405C-8C60-C067FE7C67DF	2025-09-11 11:15:07.497	800000	80000	International Security	BM	1985	Mountain	17000	4+	DSL	10
308	Valley Bicycle Specialists	277	59386B0C-652E-4668-B44B-4E1711793330	2025-09-11 11:15:07.497	3000000	300000	Primary Bank & Reserve	OS	1979	Mountain	72000	4+	DSL	66
310	New Bikes Company	279	47E4B6BD-5CD1-45A3-A231-79D930381C56	2025-09-11 11:15:07.497	1500000	150000	International Security	OS	1974	Road	39000	4+	T1	40
312	Vinyl and Plastic Goods Corporation	282	DC610525-E373-49B1-B786-EA040EC25C06	2025-09-11 11:15:07.497	1500000	150000	Primary Bank & Reserve	OS	1980	Mountain	41000	4+	DSL	43
314	Top of the Line Bikes	288	E290E93F-A980-4BA3-86C3-9858F15C8A6D	2025-09-11 11:15:07.497	1500000	150000	International Bank	OS	1986	Touring	40000	4+	DSL	46
316	Fun Toys and Bikes	281	6CDCF941-4192-49C7-994A-5ADBA534E095	2025-09-11 11:15:07.497	300000	30000	Primary Bank & Reserve	BM	1973	Touring	6000	2	DSL	2
318	Great Bikes 	283	956FBC35-5E0D-4175-8045-E0BE380BA340	2025-09-11 11:15:07.497	300000	30000	International Security	BM	1981	Mountain	10000	4+	T3	3
320	Metropolitan Sales and Rental	275	0CB4FEF2-5047-40F7-8848-B59F7A3F3EEC	2025-09-11 11:15:07.497	300000	30000	Guardian Bank	BM	1976	Road	6000	AW	T1	4
322	Irregulars Outlet	288	CDE66279-83D8-4340-A83C-E86E15514AC4	2025-09-11 11:15:07.497	300000	30000	Primary International	BM	1984	Mountain	7000	AW	DSL	5
324	Valley Toy Store	282	6A1BEA56-DCB7-45CF-8C92-3705E12EB2AA	2025-09-11 11:15:07.497	300000	30000	Reserve Security	BM	1979	Mountain	9000	2	T1	6
326	Worthwhile Activity Store	279	BAD63717-99BD-4581-8160-0F1723BE42CB	2025-09-11 11:15:07.497	300000	30000	United Security	BM	1987	Mountain	8000	2	DSL	7
328	Purchase Mart	275	A3140349-57A3-46AA-BF32-D7F4753A06D6	2025-09-11 11:15:07.497	1500000	150000	United Security	OS	1992	Touring	38000	3	ISDN	49
330	Major Sport Suppliers	283	3B5F8572-43B0-42F5-86FF-E379D0769F28	2025-09-11 11:15:07.497	3000000	300000	Reserve Security	OS	1998	Mountain	68000	3	DSL	52
332	Family's Favorite Bike Shop	278	712DF7B6-A6E4-4059-A1B8-6D39A80AB712	2025-09-11 11:15:07.497	800000	80000	Primary International	BM	1997	Mountain	21000	3	ISDN	18
334	Global Plaza	279	9A1E91D8-509B-4D96-BD77-7427C7F0C47B	2025-09-11 11:15:07.497	800000	80000	Reserve Security	BM	1975	Mountain	19000	3	DSL	19
336	Imported and Domestic Cycles	276	25C229C0-4E7A-42D2-ACB1-A2118361B2F1	2025-09-11 11:15:07.497	1000000	100000	United Security	BM	2000	Road	24000	2	T1	20
